,label,filename
0,3,pdf_files\en-wikipedia-org-wiki-Advanced_Micro_Devices.pdf
1,5,pdf_files\en-wikipedia-org-wiki-Amazon_(company).pdf
2,5,pdf_files\en-wikipedia-org-wiki-Apple_Inc-.pdf
3,0,pdf_files\en-wikipedia-org-wiki-Audi.pdf
4,4,pdf_files\en-wikipedia-org-wiki-Banana.pdf
5,4,pdf_files\en-wikipedia-org-wiki-Beetroot.pdf
6,1,pdf_files\en-wikipedia-org-wiki-Cabbage.pdf
7,1,pdf_files\en-wikipedia-org-wiki-Carrot.pdf
8,4,pdf_files\en-wikipedia-org-wiki-Cat.pdf
9,4,pdf_files\en-wikipedia-org-wiki-Cattle.pdf
10,1,pdf_files\en-wikipedia-org-wiki-Cauliflower.pdf
11,4,pdf_files\en-wikipedia-org-wiki-Chili_pepper.pdf
12,4,pdf_files\en-wikipedia-org-wiki-Dog.pdf
13,0,pdf_files\en-wikipedia-org-wiki-Ducati_Motor_Holding.pdf
14,4,pdf_files\en-wikipedia-org-wiki-Elephant.pdf
15,2,pdf_files\en-wikipedia-org-wiki-Friends.pdf
16,2,pdf_files\en-wikipedia-org-wiki-Game_of_Thrones_(season_8).pdf
17,1,pdf_files\en-wikipedia-org-wiki-Garlic.pdf
18,1,pdf_files\en-wikipedia-org-wiki-Ginger.pdf
19,5,pdf_files\en-wikipedia-org-wiki-Google.pdf
20,1,pdf_files\en-wikipedia-org-wiki-Gooseberry.pdf
21,3,pdf_files\en-wikipedia-org-wiki-Hewlett-Packard.pdf
22,4,pdf_files\en-wikipedia-org-wiki-Hippopotamus.pdf
23,4,pdf_files\en-wikipedia-org-wiki-Horse.pdf
24,2,pdf_files\en-wikipedia-org-wiki-House_of_Cards_(American_TV_series).pdf
25,2,pdf_files\en-wikipedia-org-wiki-How_I_Met_Your_Mother.pdf
26,4,pdf_files\en-wikipedia-org-wiki-Kingfisher.pdf
27,4,pdf_files\en-wikipedia-org-wiki-Lion.pdf
28,1,pdf_files\en-wikipedia-org-wiki-Lychee.pdf
29,0,pdf_files\en-wikipedia-org-wiki-Mercedes-Benz.pdf
30,2,pdf_files\en-wikipedia-org-wiki-Narcos.pdf
31,0,pdf_files\en-wikipedia-org-wiki-NSU_Motorenwerke.pdf
32,1,pdf_files\en-wikipedia-org-wiki-Okra.pdf
33,4,pdf_files\en-wikipedia-org-wiki-Old_World_sparrow.pdf
34,4,pdf_files\en-wikipedia-org-wiki-Orangutan.pdf
35,4,pdf_files\en-wikipedia-org-wiki-Ostrich.pdf
36,4,pdf_files\en-wikipedia-org-wiki-Owl.pdf
37,1,pdf_files\en-wikipedia-org-wiki-Papaya.pdf
38,4,pdf_files\en-wikipedia-org-wiki-Parrot.pdf
39,1,pdf_files\en-wikipedia-org-wiki-Passion_fruit_(fruit).pdf
40,4,pdf_files\en-wikipedia-org-wiki-Penguin.pdf
41,3,pdf_files\en-wikipedia-org-wiki-Qualcomm.pdf
42,1,pdf_files\en-wikipedia-org-wiki-Raspberry.pdf
43,4,pdf_files\en-wikipedia-org-wiki-Rhinoceros.pdf
44,2,pdf_files\en-wikipedia-org-wiki-Sense8.pdf
45,2,pdf_files\en-wikipedia-org-wiki-Shameless_(British_TV_series).pdf
46,1,pdf_files\en-wikipedia-org-wiki-Strawberry.pdf
47,0,pdf_files\en-wikipedia-org-wiki-Suzuki.pdf
48,1,pdf_files\en-wikipedia-org-wiki-Tamarind.pdf
49,2,pdf_files\en-wikipedia-org-wiki-The_Affair_(TV_series).pdf
50,2,pdf_files\en-wikipedia-org-wiki-The_Big_Bang_Theory.pdf
51,4,pdf_files\en-wikipedia-org-wiki-Tiger.pdf
52,1,pdf_files\en-wikipedia-org-wiki-Tomato.pdf
53,1,pdf_files\en-wikipedia-org-wiki-Turnip.pdf
54,0,pdf_files\en-wikipedia-org-wiki-Vespa.pdf
55,0,pdf_files\en-wikipedia-org-wiki-Volkswagen.pdf
56,5,pdf_files\en_wikipedia_org_wiki_Apple.pdf
57,0,pdf_files\en_wikipedia_org_wiki_Bajaj_Auto.pdf
58,1,pdf_files\en_wikipedia_org_wiki_Blueberry.pdf
59,0,pdf_files\en_wikipedia_org_wiki_BMW.pdf
60,1,pdf_files\en_wikipedia_org_wiki_Cherry.pdf
61,1,pdf_files\en_wikipedia_org_wiki_Coconut.pdf
62,3,pdf_files\en_wikipedia_org_wiki_Cypress_Semiconductor.pdf
63,1,pdf_files\en_wikipedia_org_wiki_Grapefruit.pdf
64,0,pdf_files\en_wikipedia_org_wiki_Hero_MotoCorp.pdf
65,0,pdf_files\en_wikipedia_org_wiki_Honda.pdf
66,3,pdf_files\en_wikipedia_org_wiki_Intel.pdf
67,1,pdf_files\en_wikipedia_org_wiki_Kiwifruit.pdf
68,0,pdf_files\en_wikipedia_org_wiki_KTM.pdf
69,1,pdf_files\en_wikipedia_org_wiki_Mango.pdf
70,5,pdf_files\en_wikipedia_org_wiki_Meta_Platforms.pdf
71,3,pdf_files\en_wikipedia_org_wiki_Microsoft.pdf
72,3,pdf_files\en_wikipedia_org_wiki_Netflix.pdf
73,3,pdf_files\en_wikipedia_org_wiki_Nvidia.pdf
74,1,pdf_files\en_wikipedia_org_wiki_Onion.pdf
75,1,pdf_files\en_wikipedia_org_wiki_Potato.pdf
76,1,pdf_files\en_wikipedia_org_wiki_Pumpkin.pdf
77,0,pdf_files\en_wikipedia_org_wiki_Royal_Enfield.pdf
78,3,pdf_files\en_wikipedia_org_wiki_STMicroelectronics.pdf
79,3,pdf_files\en_wikipedia_org_wiki_The_Social_Network.pdf
80,0,pdf_files\en_wikipedia_org_wiki_Toyota.pdf
81,1,pdf_files\en_wikipedia_org_wiki_Watermelon.pdf
82,3,pdf_files\en_wikipedia_org_wiki_Yes_Minister.pdf
83,2,pdf_files\en_wikipedia_org_wiki_Young_Sheldon.pdf
